SRNO,COMPANY,DATE,QUANTITY,PURCHASE PRICE,PURCHASE VALUE,Latest Price,Profit/Loss,Percentage Change,Ticker
76.0,GUJGASLTD,13-09-2021,25.0,677.7,16942.5,392.6499938964844,-7126.2501525878915,-42.061384993878654,GUJGASLTD.NS
77.0,INFOSYS,13-09-2021,10.0,1679.3,16793.0,,,,INFOSYS.NS
78.0,WIPRO,13-09-2021,20.0,660.8,13216.0,265.70001220703125,-7901.999755859374,-59.79116038029188,WIPRO.NS
79.0,MPHASIS,13-09-2021,5.0,2936.75,14683.75,2292.050048828125,-3223.499755859375,-21.952837360070657,MPHASIS.NS
80.0,GUJGASLTD,14-09-2021,50.0,674.25,33712.5,392.6499938964844,-14080.000305175781,-41.76492489484844,GUJGASLTD.NS
81.0,ASIANPAINTÿ,14-09-2021,5.0,3377.6,16888.0,,,,ASIANPAINTÿ.NS
82.0,GRINDWELL NOTRON,14-09-2021,10.0,1464.25,14642.5,,,,GRINDWELLNOTRON.NS
83.0,INFOSYS,14-09-2021,10.0,1692.35,16923.5,,,,INFOSYS.NS
84.0,TATA ELXSI,14-09-2021,5.0,4976.7,24883.5,5357.89990234375,1905.999511718751,7.659692212585653,TATAELXSI.NS
85.0,GUJGASLTD,20-09-2021,25.0,649.4,16235.0,392.6499938964844,-6418.75015258789,-39.53649616623277,GUJGASLTD.NS
86.0,GRINDWELL NOTRON,20-09-2021,5.0,1435.0,7175.0,,,,GRINDWELLNOTRON.NS
87.0,GUJGASLTD,20-09-2021,25.0,650.55,16263.75,392.6499938964844,-6447.50015258789,-39.64337961778735,GUJGASLTD.NS
88.0,HAVELLS,20-09-2021,10.0,1458.8,14588.0,1554.300048828125,955.0004882812505,6.546479903216689,HAVELLS.NS
89.0,GUJGASLTD,21-09-2021,50.0,615.35,30767.5,392.6499938964844,-11135.000305175783,-36.19078672357449,GUJGASLTD.NS
90.0,GUJGASLTD,21-09-2021,25.0,620.05,15501.25,392.6499938964844,-5685.00015258789,-36.674462721315315,GUJGASLTD.NS
91.0,TATA ELXSI,21-09-2021,10.0,5644.7,56447.0,5357.89990234375,-2868.000976562498,-5.08087405276188,TATAELXSI.NS
92.0,WIPRO,21-09-2021,50.0,664.75,33237.5,265.70001220703125,-19952.499389648438,-60.03008466234957,WIPRO.NS
93.0,INFOSYS,21-09-2021,5.0,1718.7,8593.5,,,,INFOSYS.NS
94.0,BAJAJ FINANCE,21-09-2021,3.0,7657.3,22971.9,,,,BAJAJFINANCE.NS
95.0,WIPRO,21-09-2021,12.0,663.5,7962.0,265.70001220703125,-4773.599853515625,-59.954783390048036,WIPRO.NS
96.0,GUJGASLTD,21-09-2021,5.0,626.0,3130.0,392.6499938964844,-1166.7500305175781,-37.27635880247853,GUJGASLTD.NS
97.0,GRINDWELL NOTRON,22-09-2021,10.0,1376.15,13761.5,,,,GRINDWELLNOTRON.NS
98.0,COFORGE,22-09-2021,4.0,5600.1,22400.4,7533.75,7734.5999999999985,34.528847699148216,COFORGE.NS
99.0,PIDILITEIND,22-09-2021,5.0,2421.95,12109.75,,,,PIDILITEIND.NS
100.0,SBIN,22-09-2021,50.0,439.85,21992.5,745.0,15257.499999999998,69.37592361032169,SBIN.NS
101.0,MOULDTEKPACK,22-09-2021,10.0,559.0,5590.0,,,,MOULDTEKPACK.NS
102.0,YES BANK,22-09-2021,100.0,13.26,1326.0,17.010000228881836,375.0000228881836,28.280544712532702,YESBANK.NS
103.0,CDSL,22-09-2021,10.0,1274.5,12745.0,1170.0,-1045.0,-8.19929384072185,CDSL.NS
